id,abstract_len,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2055112313,53,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Plasmid Vector System,1979-03-02,67,journal-article,217087,1,A5074373621,Mark A. Israel,"DNA Recombinant Research Unit, National Institute of Allergy and Infectious Diseases, Bethesda, Maryland 20014",National Institute of Allergy and Infectious Diseases,I4210134534,1
W2055112313,53,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Plasmid Vector System,1979-03-02,67,journal-article,217087,2,A5049654754,Hardy Chan,"DNA Recombinant Research Unit, National Institute of Allergy and Infectious Diseases, Bethesda, Maryland 20014",National Institute of Allergy and Infectious Diseases,I4210134534,1
W2055112313,53,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Plasmid Vector System,1979-03-02,67,journal-article,217087,3,A5073880802,Wallace P. Rowe,Laboratory of Viral Diseases National Institute of Allergy and Infectious Diseases,National Institute of Allergy and Infectious Diseases,I4210134534,1
W2055112313,53,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Plasmid Vector System,1979-03-02,67,journal-article,217087,4,A5055244754,Malcolm A. Martin,"DNA Recombinant Research Unit, National Institute of Allergy and Infectious Diseases, Bethesda, Maryland 20014",National Institute of Allergy and Infectious Diseases,I4210134534,1
W1677811082,165,Cyclic AMP-stimulated protein kinases at brain synaptic junctions.,1979-03-01,60,journal-article,216697,1,A5036421292,PT Kelly,,,,1
W1677811082,165,Cyclic AMP-stimulated protein kinases at brain synaptic junctions.,1979-03-01,60,journal-article,216697,2,A5029827328,Cotman Cw,,,,1
W1677811082,165,Cyclic AMP-stimulated protein kinases at brain synaptic junctions.,1979-03-01,60,journal-article,216697,3,A5024955048,Michael Largen,,,,1
W1579795457,0,Stimulation of human foreskin fibroblast adenosine 3‘:5‘-cyclic monophosphate levels by prostacyclin (prostaglandin I2).,1979-03-01,46,journal-article,216703,1,A5035713508,Robert R. Gorman,,,,1
W1579795457,0,Stimulation of human foreskin fibroblast adenosine 3‘:5‘-cyclic monophosphate levels by prostacyclin (prostaglandin I2).,1979-03-01,46,journal-article,216703,2,A5071123328,R D Hamilton,,,,1
W1579795457,0,Stimulation of human foreskin fibroblast adenosine 3‘:5‘-cyclic monophosphate levels by prostacyclin (prostaglandin I2).,1979-03-01,46,journal-article,216703,3,A5027448776,Nancy K. Hopkins,,,,1
W2052821654,52,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Lambda Phage Vector System,1979-03-02,44,journal-article,217088,1,A5049654754,Hardy Chan,"DNA Recombinant Research Unit, National Institute of Allergy and Infectious Diseases, Bethesda, Maryland 20014",National Institute of Allergy and Infectious Diseases,I4210134534,1
W2052821654,52,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Lambda Phage Vector System,1979-03-02,44,journal-article,217088,2,A5074373621,Mark A. Israel,"DNA Recombinant Research Unit, National Institute of Allergy and Infectious Diseases, Bethesda, Maryland 20014",National Institute of Allergy and Infectious Diseases,I4210134534,1
W2052821654,52,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Lambda Phage Vector System,1979-03-02,44,journal-article,217088,3,A5058156371,Claude F. Garon,Laboratory of ofthe Biology of Viruses,,,1
W2052821654,52,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Lambda Phage Vector System,1979-03-02,44,journal-article,217088,4,A5073880802,Wallace P. Rowe,Laboratory of Viral Diseases,Global Viral,I2800496153,1
W2052821654,52,Molecular Cloning of Polyoma Virus DNA in <i>Escherichia coli</i> : Lambda Phage Vector System,1979-03-02,44,journal-article,217088,5,A5055244754,Malcolm A. Martin,"DNA Recombinant Research Unit, National Institute of Allergy and Infectious Diseases, Bethesda, Maryland 20014",National Institute of Allergy and Infectious Diseases,I4210134534,1
W1479913717,103,Interaction of iodinated human [D-Ala2]beta-endorphin with opitate receptors.,1979-03-01,40,journal-article,217869,1,A5067055601,Eli Hazum,,,,1
W1479913717,103,Interaction of iodinated human [D-Ala2]beta-endorphin with opitate receptors.,1979-03-01,40,journal-article,217869,2,A5057927191,Kwen-Jen Chang,,,,1
W1479913717,103,Interaction of iodinated human [D-Ala2]beta-endorphin with opitate receptors.,1979-03-01,40,journal-article,217869,3,A5068145395,Pedro Cuatrecasas,,,,1
W1971127559,70,DNA of noninfectious and infectious integrated spleen necrosis virus (SNV) is colinear with unintegrated SNV DNA and not grossly abnormal,1979-01-01,40,journal-article,217546,1,A5033217222,Eli Keshet,"McArdle Laboratory for Cancer Research, University of Wisconsin, Madison, Wisconsin 53706, USA",University of Wisconsin–Madison,I135310074,1
W1971127559,70,DNA of noninfectious and infectious integrated spleen necrosis virus (SNV) is colinear with unintegrated SNV DNA and not grossly abnormal,1979-01-01,40,journal-article,217546,2,A5075905733,Julian J. O’Rear,"McArdle Laboratory for Cancer Research, University of Wisconsin, Madison, Wisconsin 53706, USA",University of Wisconsin–Madison,I135310074,1
W1971127559,70,DNA of noninfectious and infectious integrated spleen necrosis virus (SNV) is colinear with unintegrated SNV DNA and not grossly abnormal,1979-01-01,40,journal-article,217546,3,A5012292365,Howard M. Temin,"McArdle Laboratory for Cancer Research, University of Wisconsin, Madison, Wisconsin 53706, USA",University of Wisconsin–Madison,I135310074,1
W2010938080,104,Characterization of cross-reacting antigens on the Epstein-Barr virus envelope and plasma membranes of producer cells,1979-01-01,40,journal-article,217544,1,A5080525511,David A. Thorley‐Lawson,,,,1
W1984906971,0,Is synaptic facilitation caused by presynaptic spike broadening?,1979-03-01,23,journal-article,216923,1,A5046481259,Robert S. Zucker,"Department of Physiology‐Anatomy, University of California, Berkeley","University of California, Berkeley",I95457486,1
W1984906971,0,Is synaptic facilitation caused by presynaptic spike broadening?,1979-03-01,23,journal-article,216923,2,A5068099424,Luis O. Lara-Estrella,"Department of Physiology‐Anatomy, University of California, Berkeley","University of California, Berkeley",I95457486,1
W1557958120,125,Biosynthesis of cytochrome c oxidase by isolated rat liver mitochondria.,1979-03-01,19,journal-article,216699,1,A5079374705,Ralph J. Rascati,,,,1
W1557958120,125,Biosynthesis of cytochrome c oxidase by isolated rat liver mitochondria.,1979-03-01,19,journal-article,216699,2,A5048076013,Peter G. Parsons,,,,1
W2002378677,0,H–2 restriction and non-restriction of T-cell-mediated cytotoxicity against mouse mammary tumour targets,1978-11-01,16,journal-article,216918,1,A5078785384,Osias Stutman,"Memorial Sloan-Kettering Cancer Center, new york",Memorial Sloan Kettering Cancer Center,I1334819555,1
W2002378677,0,H–2 restriction and non-restriction of T-cell-mediated cytotoxicity against mouse mammary tumour targets,1978-11-01,16,journal-article,216918,2,A5026271502,Francis X. Shen,"Memorial Sloan-Kettering Cancer Center, new york",Memorial Sloan Kettering Cancer Center,I1334819555,1
W2011629311,0,Hormones and cell culture,1978-11-01,2,journal-article,216917,1,A5052559364,Philip S. Rudland,"Staff Member at the Imperial Cancer Research Fund, London",,,1
W2018385269,0,T antigen is bound to a host protein in SY40-transformed cells,1979-03-01,2268,journal-article,218111,1,A5019407635,David P. Lane,"Cold Spring Harbor Laboratory, Cold Spring Harbor; Department of Zoology, Imperial College, London, UK",Cold Spring Harbor Laboratory,I2750212522,1
W2018385269,0,T antigen is bound to a host protein in SY40-transformed cells,1979-03-01,2268,journal-article,218111,1,A5019407635,David P. Lane,"Cold Spring Harbor Laboratory, Cold Spring Harbor; Department of Zoology, Imperial College, London, UK",Imperial College London,I47508984,2
W2018385269,0,T antigen is bound to a host protein in SY40-transformed cells,1979-03-01,2268,journal-article,218111,2,A5089571502,L. V. Crawford,"Department of Molecular Virology, Imperial Cancer Research Fund, London, UK",The Honourable Society of Lincoln's Inn,I1292966370,1
W168008062,0,Very low density lipoprotein synthesis and secretion by cultured rat hepatocytes.,1979-03-01,221,journal-article,217875,1,A5033012006,Roger J. Davis,,,,1
W168008062,0,Very low density lipoprotein synthesis and secretion by cultured rat hepatocytes.,1979-03-01,221,journal-article,217875,2,A5087723092,Sheldon C. Engelhorn,,,,1
W168008062,0,Very low density lipoprotein synthesis and secretion by cultured rat hepatocytes.,1979-03-01,221,journal-article,217875,3,A5028333565,Sharon Pangburn,,,,1
W168008062,0,Very low density lipoprotein synthesis and secretion by cultured rat hepatocytes.,1979-03-01,221,journal-article,217875,4,A5065645132,David Weinstein,,,,1
W168008062,0,Very low density lipoprotein synthesis and secretion by cultured rat hepatocytes.,1979-03-01,221,journal-article,217875,5,A5066066833,Daniel Steinberg,,,,1
W1494501092,134,ADP ribosylation of rat liver nucleosomal core histones.,1979-04-01,180,journal-article,218926,1,A5035156811,Luis O. Burzio,,,,1
W1494501092,134,ADP ribosylation of rat liver nucleosomal core histones.,1979-04-01,180,journal-article,218926,2,A5031336794,Patricio T. Riquelme,,,,1
W1494501092,134,ADP ribosylation of rat liver nucleosomal core histones.,1979-04-01,180,journal-article,218926,3,A5082010874,S. S. Koide,,,,1
W1533339726,121,Binding of human thrombin to cultured human endothelial cells.,1979-05-01,173,journal-article,438177,1,A5027523559,B. J. Awbrey,,,,1
W1533339726,121,Binding of human thrombin to cultured human endothelial cells.,1979-05-01,173,journal-article,438177,2,A5090551209,John C. Hoak,,,,1
W1533339726,121,Binding of human thrombin to cultured human endothelial cells.,1979-05-01,173,journal-article,438177,3,A5000595599,Whyte G. Owen,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,1,A5070931454,Richard L. Miller,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,2,A5068020522,David L. Adamczyk,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,3,A5078619546,Wayne H. Miller,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,4,A5073798859,George W. Koszalka,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,5,A5090237817,Janet L. Rideout,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,6,A5006529381,L M Beacham,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,7,A5091393909,Esther Y. Chao,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,8,A5035446641,Jade J. Haggerty,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,9,A5079132885,Thomas A. Krenitsky,,,,1
W195270458,0,Adenosine kinase from rabbit liver. II. Substrate and inhibitor specificity,1979-04-01,158,journal-article,218934,10,A5012121429,Gertrude B. Elion,,,,1
W1535002454,170,Resolution of the phosphorylated and dephosphorylated cAMP-binding proteins of bovine cardiac muscle by affinity labeling and two-dimensional electrophoresis,1979-04-01,149,journal-article,218941,1,A5061978418,R Rangel-Aldao,,,,1
W1535002454,170,Resolution of the phosphorylated and dephosphorylated cAMP-binding proteins of bovine cardiac muscle by affinity labeling and two-dimensional electrophoresis,1979-04-01,149,journal-article,218941,2,A5062048900,J W Kupiec,,,,1
W1535002454,170,Resolution of the phosphorylated and dephosphorylated cAMP-binding proteins of bovine cardiac muscle by affinity labeling and two-dimensional electrophoresis,1979-04-01,149,journal-article,218941,3,A5071514260,Ora M. Rosen,,,,1
W83654762,0,A specific inhibitor of vertebrate collagenase produced by human skin fibroblasts.,1979-03-01,145,journal-article,217874,1,A5011816785,Howard G. Welgus,,,,1
W83654762,0,A specific inhibitor of vertebrate collagenase produced by human skin fibroblasts.,1979-03-01,145,journal-article,217874,2,A5006036761,George P. Stricklin,,,,1
W83654762,0,A specific inhibitor of vertebrate collagenase produced by human skin fibroblasts.,1979-03-01,145,journal-article,217874,3,A5025245571,Arthur Z. Eisen,,,,1
W83654762,0,A specific inhibitor of vertebrate collagenase produced by human skin fibroblasts.,1979-03-01,145,journal-article,217874,4,A5085853201,Eugene A. Bauer,,,,1
W83654762,0,A specific inhibitor of vertebrate collagenase produced by human skin fibroblasts.,1979-03-01,145,journal-article,217874,5,A5057382122,Robert V. Cooney,,,,1
W83654762,0,A specific inhibitor of vertebrate collagenase produced by human skin fibroblasts.,1979-03-01,145,journal-article,217874,6,A5011806639,John J. Jeffrey,,,,1
W166487155,0,Relationships between structural domains and function in the regulatory subunit of cAMP-dependent protein kinases I and II from porcine skeletal muscle,1979-04-01,123,journal-article,218936,1,A5023611600,Robert Potter,,,,1
W166487155,0,Relationships between structural domains and function in the regulatory subunit of cAMP-dependent protein kinases I and II from porcine skeletal muscle,1979-04-01,123,journal-article,218936,2,A5045962448,Susan S. Taylor,,,,1
W1570855428,0,Calcium displacement by local anesthetics. Dependence on pH and anesthetic charge.,1979-05-01,122,journal-article,438180,1,A5012446734,Philip S. Low,,,,1
W1570855428,0,Calcium displacement by local anesthetics. Dependence on pH and anesthetic charge.,1979-05-01,122,journal-article,438180,2,A5034759599,D. Lloyd,,,,1
W1570855428,0,Calcium displacement by local anesthetics. Dependence on pH and anesthetic charge.,1979-05-01,122,journal-article,438180,3,A5036735666,Thomas M. Stein,,,,1
W1570855428,0,Calcium displacement by local anesthetics. Dependence on pH and anesthetic charge.,1979-05-01,122,journal-article,438180,4,A5060958362,Jane Rogers,,,,1
W1488730449,0,Proteolytic fragmentation of the catalytic subunit of the sodium and potassium adenosine triphosphatase. Alignment of tryptic and chymotryptic fragments and location of sites labeled with ATP and iodoacetate,1979-04-01,121,journal-article,218929,1,A5013503265,José María Albertos Castro,,,,1
W1488730449,0,Proteolytic fragmentation of the catalytic subunit of the sodium and potassium adenosine triphosphatase. Alignment of tryptic and chymotryptic fragments and location of sites labeled with ATP and iodoacetate,1979-04-01,121,journal-article,218929,2,A5042863048,Robert A. Farley,,,,1
W2037815406,0,A semi-synthetic penicillinase inactivator,1979-03-01,87,journal-article,218114,1,A5059663846,Steven J. Cartwright,"Department of Molecular Biology, University of Edinburgh, Edinburgh, UK",University of Edinburgh,I98677209,1
W2037815406,0,A semi-synthetic penicillinase inactivator,1979-03-01,87,journal-article,218114,2,A5046632666,Andrew Coulson,"Department of Molecular Biology, University of Edinburgh, Edinburgh, UK",University of Edinburgh,I98677209,1
W1550470922,93,Deoxyguanosine kinase. Distinct molecular forms in mitochondria and cytosol,1979-04-01,79,journal-article,218928,1,A5027710570,William R. Gower,,,,1
W1550470922,93,Deoxyguanosine kinase. Distinct molecular forms in mitochondria and cytosol,1979-04-01,79,journal-article,218928,2,A5075900566,Michael C. Carr,,,,1
W1550470922,93,Deoxyguanosine kinase. Distinct molecular forms in mitochondria and cytosol,1979-04-01,79,journal-article,218928,3,A5005765586,David H. Ives,,,,1
W1636953413,0,Adenosine kinase from rabbit liver. I. Purification by affinity chromatography and properties,1979-04-01,79,journal-article,218933,1,A5070931454,Richard L. Miller,,,,1
W1636953413,0,Adenosine kinase from rabbit liver. I. Purification by affinity chromatography and properties,1979-04-01,79,journal-article,218933,2,A5068020522,David L. Adamczyk,,,,1
W1636953413,0,Adenosine kinase from rabbit liver. I. Purification by affinity chromatography and properties,1979-04-01,79,journal-article,218933,3,A5078619546,Wayne H. Miller,,,,1
W1536166459,0,Steroid binding properties of beef adrenal cortical cytochrome P-450 which catalyzes the conversion of cholesterol into pregnenolone.,1979-03-01,73,journal-article,217878,1,A5053267041,N R Orme-Johnson,,,,1
W1536166459,0,Steroid binding properties of beef adrenal cortical cytochrome P-450 which catalyzes the conversion of cholesterol into pregnenolone.,1979-03-01,73,journal-article,217878,2,A5089426338,David R. Light,,,,1
W1536166459,0,Steroid binding properties of beef adrenal cortical cytochrome P-450 which catalyzes the conversion of cholesterol into pregnenolone.,1979-03-01,73,journal-article,217878,3,A5052190496,R W White-Stevens,,,,1
W1536166459,0,Steroid binding properties of beef adrenal cortical cytochrome P-450 which catalyzes the conversion of cholesterol into pregnenolone.,1979-03-01,73,journal-article,217878,4,A5016348153,William H. Orme‐Johnson,,,,1
W143643936,0,Evidence that carboxyphosphate is a kinetically competent intermediate in the carbamyl phosphate synthetase reaction.,1979-03-01,64,journal-article,217873,1,A5089059899,Monika Wimmer,,,,1
W143643936,0,Evidence that carboxyphosphate is a kinetically competent intermediate in the carbamyl phosphate synthetase reaction.,1979-03-01,64,journal-article,217873,2,A5049801323,Irwin A. Rose,,,,1
W143643936,0,Evidence that carboxyphosphate is a kinetically competent intermediate in the carbamyl phosphate synthetase reaction.,1979-03-01,64,journal-article,217873,3,A5009098479,S G Powers,,,,1
W143643936,0,Evidence that carboxyphosphate is a kinetically competent intermediate in the carbamyl phosphate synthetase reaction.,1979-03-01,64,journal-article,217873,4,A5000178422,Alton Meister,,,,1
W2023403288,64,Regional Localization of the Gene for Human Phosphoribosylpyrophosphate Synthetase on the X Chromosome,1979-03-09,59,journal-article,218284,1,A5060457543,Baoshan Ma,,,,1
W2023403288,64,Regional Localization of the Gene for Human Phosphoribosylpyrophosphate Synthetase on the X Chromosome,1979-03-09,59,journal-article,218284,2,A5057853174,RC Yen,,,,1
W2023403288,64,Regional Localization of the Gene for Human Phosphoribosylpyrophosphate Synthetase on the X Chromosome,1979-03-09,59,journal-article,218284,3,A5024054292,P Itkin,,,,1
W2023403288,64,Regional Localization of the Gene for Human Phosphoribosylpyrophosphate Synthetase on the X Chromosome,1979-03-09,59,journal-article,218284,4,A5083379425,S.J. Goss,,,,1
W2023403288,64,Regional Localization of the Gene for Human Phosphoribosylpyrophosphate Synthetase on the X Chromosome,1979-03-09,59,journal-article,218284,5,A5037864999,J. Edwin Seegmiller,,,,1
W2023403288,64,Regional Localization of the Gene for Human Phosphoribosylpyrophosphate Synthetase on the X Chromosome,1979-03-09,59,journal-article,218284,6,A5042842588,Bohdan Bakay,,,,1
W1586677548,111,Regulatory interactions between mitochondrial genes. I. Genetic and biochemical characterization of some mutant types affecting apocytochrome b and cytochrome oxidase,1979-04-01,55,journal-article,218939,1,A5009043761,Nancy J. Alexander,,,,1
W1586677548,111,Regulatory interactions between mitochondrial genes. I. Genetic and biochemical characterization of some mutant types affecting apocytochrome b and cytochrome oxidase,1979-04-01,55,journal-article,218939,2,A5056148125,Robert D. Vincent,,,,1
W1586677548,111,Regulatory interactions between mitochondrial genes. I. Genetic and biochemical characterization of some mutant types affecting apocytochrome b and cytochrome oxidase,1979-04-01,55,journal-article,218939,3,A5072114316,Philip S. Perlman,,,,1
W1586677548,111,Regulatory interactions between mitochondrial genes. I. Genetic and biochemical characterization of some mutant types affecting apocytochrome b and cytochrome oxidase,1979-04-01,55,journal-article,218939,4,A5019251925,Donald H. Miller,,,,1
W1586677548,111,Regulatory interactions between mitochondrial genes. I. Genetic and biochemical characterization of some mutant types affecting apocytochrome b and cytochrome oxidase,1979-04-01,55,journal-article,218939,5,A5053422114,Deborah K. Hanson,,,,1
W1586677548,111,Regulatory interactions between mitochondrial genes. I. Genetic and biochemical characterization of some mutant types affecting apocytochrome b and cytochrome oxidase,1979-04-01,55,journal-article,218939,6,A5091260072,Henry R. Mahler,,,,1
W1967882585,0,Phosphorylase kinase phosphorylates a brain protein which is influenced by repetitive synaptic activation,1979-03-01,51,journal-article,218113,1,A5081270367,Michael Browning,"Department of Psychobiology, University of California, Irvine#TAB#","University of California, Irvine",I204250578,1
W1967882585,0,Phosphorylase kinase phosphorylates a brain protein which is influenced by repetitive synaptic activation,1979-03-01,51,journal-article,218113,2,A5077574182,William F. Bennett,"Department of Psychobiology, University of California, Irvine#TAB#","University of California, Irvine",I204250578,1
W1967882585,0,Phosphorylase kinase phosphorylates a brain protein which is influenced by repetitive synaptic activation,1979-03-01,51,journal-article,218113,3,A5074348666,Gary Lynch,"Department of Psychobiology, University of California, Irvine#TAB#","University of California, Irvine",I204250578,1
W1554661687,0,"Reaction mechanism and specificity of human GMP reductase. Substrates, inhibitors, activators, and inactivators",1979-04-01,49,journal-article,218932,1,A5079115399,Thomas Spector,,,,1
W1554661687,0,"Reaction mechanism and specificity of human GMP reductase. Substrates, inhibitors, activators, and inactivators",1979-04-01,49,journal-article,218932,2,A5025478299,Thomas Jones,,,,1
W1554661687,0,"Reaction mechanism and specificity of human GMP reductase. Substrates, inhibitors, activators, and inactivators",1979-04-01,49,journal-article,218932,3,A5070931454,Richard L. Miller,,,,1
W1502779904,85,Initiation of RNA synthesis in vitro by vesicular stomatitis virus. Role of ATP.,1979-03-01,47,journal-article,217877,1,A5036441103,Douglas Testa,,,,1
W1502779904,85,Initiation of RNA synthesis in vitro by vesicular stomatitis virus. Role of ATP.,1979-03-01,47,journal-article,217877,2,A5062923942,Amiya K. Banerjee,,,,1
W177542464,94,Succinic semialdehyde dehydrogenase. Reactivity of lysyl residues.,1979-03-01,47,journal-article,217872,1,A5069241630,William S. Blaner,,,,1
W177542464,94,Succinic semialdehyde dehydrogenase. Reactivity of lysyl residues.,1979-03-01,47,journal-article,217872,2,A5023591443,Jorge E. Churchich,,,,1
W1514529723,0,Regulation of the surface physical properties of the very low density lipoprotein,1979-04-01,45,journal-article,218937,1,A5046497078,Friedhelm Schroeder,,,,1
W1514529723,0,Regulation of the surface physical properties of the very low density lipoprotein,1979-04-01,45,journal-article,218937,2,A5074311319,Edward H. Goh,,,,1
W1514529723,0,Regulation of the surface physical properties of the very low density lipoprotein,1979-04-01,45,journal-article,218937,3,A5022692420,Murray Heimberg,,,,1
W1565977223,0,Regulation of very low density lipoprotein interior core lipid physicochemical properties,1979-04-01,38,journal-article,218938,1,A5046497078,Friedhelm Schroeder,,,,1
W1565977223,0,Regulation of very low density lipoprotein interior core lipid physicochemical properties,1979-04-01,38,journal-article,218938,2,A5074311319,Edward H. Goh,,,,1
W1557353187,90,Interferon priming. Effects on interferon messenger RNA.,1979-05-01,36,journal-article,438179,1,A5028179833,Sergio L. Abreu,,,,1
W1557353187,90,Interferon priming. Effects on interferon messenger RNA.,1979-05-01,36,journal-article,438179,2,A5049959596,F. Carter Bancroft,,,,1
W1557353187,90,Interferon priming. Effects on interferon messenger RNA.,1979-05-01,36,journal-article,438179,3,A5019817828,William E. Stewart,,,,1
W1643558629,207,Regulatory interaction between mitochondrial genes. II. Detailed characterization of novel mutants mapping within one cluster in the cob2 region,1979-04-01,35,journal-article,218940,1,A5053422114,Deborah K. Hanson,,,,1
W1643558629,207,Regulatory interaction between mitochondrial genes. II. Detailed characterization of novel mutants mapping within one cluster in the cob2 region,1979-04-01,35,journal-article,218940,2,A5019251925,Donald H. Miller,,,,1
W1643558629,207,Regulatory interaction between mitochondrial genes. II. Detailed characterization of novel mutants mapping within one cluster in the cob2 region,1979-04-01,35,journal-article,218940,3,A5091260072,Henry R. Mahler,,,,1
W1643558629,207,Regulatory interaction between mitochondrial genes. II. Detailed characterization of novel mutants mapping within one cluster in the cob2 region,1979-04-01,35,journal-article,218940,4,A5009043761,Nancy J. Alexander,,,,1
